source_id,ra,dec,classification,phot_variable_fundam_freq1,mean,peak_to_peak_g,r21_g,phi21_g,num_harmonics_for_p1
4.6567E+18,68.21558945,-66.77273043,RRLYR,1.763842716,19.24631548,0.917244589,0.530501866,4.012854434,3
4.65671E+18,67.73249799,-66.71002108,RRLYR,3.27464802,19.16619012,0.490784585,0.16080693,4.579560947,2
4.65672E+18,67.93386426,-66.60340756,RRLYR,1.848369944,19.35677663,1.033296607,0.604454615,3.996910696,4
4.65672E+18,67.63894842,-66.51962387,RRLYR,2.915671848,19.09824159,0.469001269,0.107953397,4.350372212,2
4.65888E+18,81.11142467,-67.20536835,RRLYR,2.031117366,19.22501112,0.866316348,0.330550776,4.370662955,3
4.65888E+18,80.63548814,-67.20995478,RRLYR,1.794615144,19.45876924,0.849350055,0.412468082,4.158671485,3
4.65888E+18,80.61711929,-67.19127561,RRLYR,1.714827877,19.47105324,0.900199568,0.477921003,4.348945931,3
4.65888E+18,80.90447799,-67.17819951,RRLYR,1.910964271,19.07143309,1.006724362,0.428627475,4.093364289,2
4.65888E+18,80.88857489,-67.14850056,RRLYR,1.654960588,19.45377225,0.863283861,0.441705458,3.981495754,3
4.65888E+18,80.96038961,-67.10382236,RRLYR,1.819008459,19.78851118,0.953985611,0.316804551,4.112787501,2
4.65889E+18,80.78546039,-67.07057317,RRLYR,1.564551559,19.23942791,0.342236872,0.361273195,4.321707751,3
4.65889E+18,80.22506773,-67.22002225,RRLYR,1.750419693,19.33852468,0.816476071,0.598095227,4.011491885,4
4.65889E+18,79.89095104,-67.15773102,RRLYR,1.699785975,19.12981542,0.698186394,0.466993793,3.971539794,4
4.65889E+18,79.93417737,-67.14840491,RRLYR,1.736573241,19.35117343,0.883709508,0.341408726,3.45221968,3
4.65889E+18,80.19721638,-67.13620803,RRLYR,1.808641123,19.14751703,0.936778086,0.48075891,3.82058707,4
4.65889E+18,80.21859377,-67.11034953,RRLYR,1.859742325,19.55268797,1.033118562,0.438745007,3.862166477,5
4.6589E+18,80.43749827,-67.03058568,RRLYR,1.625379635,19.14341241,0.790093822,0.557750257,4.160892162,4
4.6589E+18,80.35025393,-66.95105644,RRLYR,1.609503743,19.42730441,0.436855496,0.45545795,4.308085054,3
4.6589E+18,80.08569661,-66.98621083,RRLYR,1.684287225,19.2705767,0.701449164,0.528760546,3.91498642,5
4.6589E+18,80.05954159,-66.95733989,RRLYR,1.910189293,19.29399492,0.546724378,0.33697806,4.354426948,2
4.6589E+18,80.02173701,-66.9453785,RRLYR,1.871389353,19.38443254,0.556959637,0.477607628,3.859416615,2
4.6589E+18,80.27642157,-66.98657137,RRLYR,1.612838252,19.26993698,0.698049594,0.58721446,4.197879779,3
4.6589E+18,80.1496892,-66.90380188,RRLYR,1.708490582,19.59259823,0.42812718,0.448505249,4.15636114,3
4.65892E+18,79.77684998,-67.17864882,RRLYR,1.979216514,19.18212513,1.118768486,0.459515348,4.092009339,3
4.65892E+18,79.59208148,-67.19496583,RRLYR,1.723204661,19.31429307,0.844568218,0.552284469,3.97099333,3
4.65892E+18,79.34351488,-67.15444127,RRLYR,1.923108962,19.39614812,1.030051499,0.451480612,4.009706325,5
4.65892E+18,79.42993301,-67.1232101,RRLYR,1.699185196,19.24886111,0.691744862,0.439059513,4.206571379,3
4.65892E+18,79.36819524,-67.06176002,RRLYR,1.633919177,19.2305388,0.506187941,0.480990129,4.2767389,3
4.65892E+18,79.22236474,-67.04777982,RRLYR,1.923507384,19.31729557,0.776212884,0.378602494,4.018813703,4
4.65892E+18,78.95221849,-67.20302062,RRLYR,1.930635927,19.28274523,0.954497318,0.480999038,3.896949345,4
4.65892E+18,79.0298604,-67.16802456,RRLYR,1.709657254,19.34196532,0.564490136,0.437750846,4.056045354,2
4.65892E+18,78.8000094,-67.16545604,RRLYR,1.663734689,19.35944461,0.693931408,0.519549534,4.240630198,3
4.65892E+18,78.9310927,-67.16451008,RRLYR,2.813008686,19.25088088,0.49183403,0.111780738,4.624428777,3
4.65893E+18,78.83336178,-67.15369712,RRLYR,1.657897284,19.38880463,0.53864668,0.4881099,4.607574221,2
4.65893E+18,78.71319896,-67.18359341,RRLYR,1.582247191,19.351001,0.586284653,0.376042665,3.699883758,3
4.65893E+18,78.63820652,-67.16909703,RRLYR,1.505652601,19.2307496,0.343950054,0.384092434,4.413522874,2
4.65893E+18,78.61731083,-67.15803136,RRLYR,1.510632739,19.14244651,0.529297023,0.452092145,4.125755363,3
4.65893E+18,78.49956541,-67.09067608,RRLYR,1.741720117,19.7228371,0.698390699,0.346626573,3.863211231,3
4.65893E+18,78.56762663,-67.04279621,RRLYR,1.587213937,19.32960286,0.309684921,0.230592505,4.426384776,2
4.65893E+18,79.01672241,-67.10218619,RRLYR,1.68663785,19.21504791,1.137245292,0.484149466,4.154942054,5
4.65893E+18,78.95913424,-67.12998639,RRLYR,1.957931107,19.20616656,1.194887502,0.49202585,4.021770587,6
4.65893E+18,79.15081085,-67.02923235,RRLYR,1.823401093,19.00449402,0.680456429,0.418157143,4.16414708,4
4.65893E+18,79.13512507,-67.02251643,RRLYR,1.776833712,19.10139407,0.946701539,0.370443949,3.93924623,3
4.65893E+18,78.99571747,-67.00381747,RRLYR,2.858939635,19.14437834,0.451625456,0.245115584,5.040595532,2
4.65893E+18,78.86011018,-67.00184298,RRLYR,2.04125599,19.44885635,1.07697945,0.359668395,3.929541266,3
4.65893E+18,79.00820442,-66.98748577,RRLYR,1.615790672,19.33235749,0.729523639,0.570480185,4.304889347,4
4.65893E+18,78.94647605,-66.9316161,RRLYR,1.517964858,19.33034964,0.679256602,0.497500952,4.22703749,4
4.65893E+18,78.80417803,-67.06575882,RRLYR,1.72958415,19.43664068,0.876615406,0.43832367,3.99202943,4
4.65893E+18,78.66668958,-67.0230313,RRLYR,1.927930007,19.41885311,0.934252517,0.482411782,3.832577475,3
4.65894E+18,78.61708547,-67.01104517,RRLYR,1.748277114,19.23609049,0.66395801,0.46750142,4.222215889,3
4.65894E+18,78.57038443,-66.96651519,RRLYR,1.709756342,19.35860949,0.803168406,0.472212044,4.068701809,3
4.65894E+18,78.79736218,-66.96812296,RRLYR,2.764980957,19.35156894,0.450847914,0.234157902,4.47978624,2
4.65894E+18,78.57206383,-66.90273591,RRLYR,2.028621347,19.22995503,1.355393705,0.661710442,3.973686744,3
4.65894E+18,79.82889637,-67.14774697,RRLYR,1.562097742,19.09057131,0.753991786,0.515425949,4.039269642,4
4.65894E+18,79.81207753,-67.08015014,RRLYR,1.711040391,19.16104125,0.85117743,0.59427944,3.960547884,4
4.65894E+18,79.63248503,-67.08718243,RRLYR,2.967542749,19.19229804,0.172707997,0.224434558,4.641445465,2
4.65894E+18,79.64216944,-67.07084585,RRLYR,1.624203008,19.1773605,0.779804169,0.454049386,4.198137048,5
4.65894E+18,79.83400588,-67.0316734,RRLYR,2.104591386,19.49133738,1.170461848,0.398407187,3.998811398,3
4.65894E+18,79.84180265,-67.02054638,RRLYR,2.123359919,19.31382944,1.100905361,0.400524897,3.898185344,4
4.65894E+18,79.85550713,-67.02662942,RRLYR,3.22673441,19.19274331,0.487818816,0.287173305,3.96753543,2
4.65894E+18,79.79624392,-67.01018723,RRLYR,1.717624051,19.22837745,0.472844057,0.294774689,3.946486214,2
4.65894E+18,79.68024598,-67.01580034,RRLYR,3.033258015,19.11486988,0.489213288,0.190109316,4.932724729,3
4.65894E+18,79.63532265,-67.0099703,RRLYR,3.588569241,19.40533095,0.384174959,0.271676577,3.88800237,2
4.65894E+18,79.7074155,-66.95753009,RRLYR,1.779561094,19.2714994,0.919981597,0.474246878,4.129324282,4
4.65894E+18,79.43309997,-66.99485422,RRLYR,3.047005479,19.39126645,0.538809985,0.180564173,4.3800428,2
4.65894E+18,79.34928289,-66.95212772,RRLYR,1.862049043,19.53153703,0.60608644,0.492074789,4.374686121,4
4.65895E+18,79.54201654,-66.98260475,RRLYR,1.744928409,19.34336352,0.753575696,0.53375018,4.077442132,4
4.65895E+18,79.47368868,-66.94402606,RRLYR,1.60965457,19.23210035,0.632585756,0.382351076,4.271281285,3
4.65895E+18,79.4690659,-66.88546584,RRLYR,1.53665747,19.22836768,0.313132962,0.349337788,4.601982381,2
4.65895E+18,79.37098438,-66.91538856,RRLYR,1.666628601,19.35717327,0.679047833,0.445255081,4.048211531,4
4.65895E+18,79.61931408,-66.88867873,RRLYR,1.747988494,19.26917301,1.028095168,0.480533772,3.980364518,5
4.65895E+18,79.96222409,-66.84061265,RRLYR,1.602540938,19.48099424,0.681265683,0.446611706,4.077926999,5
4.65895E+18,79.69190819,-66.77147729,RRLYR,1.522743401,19.23200862,0.645920328,0.484167057,4.290970408,4
4.65895E+18,79.32478397,-66.79554592,RRLYR,2.935794468,19.41185316,0.398703222,0.12898588,4.960380544,2
4.65895E+18,79.65334245,-66.78567218,RRLYR,1.71177026,19.3139404,0.599654548,0.369794825,3.946502262,3
4.65895E+18,79.60991107,-66.73633858,RRLYR,2.289313609,19.6782655,1.164096755,0.572350094,4.0207745,4
4.65896E+18,79.47766614,-66.66323323,RRLYR,1.736169944,19.51301315,0.786228617,0.441312403,3.994417274,5
4.65896E+18,79.1202106,-66.91894382,RRLYR,1.60538027,19.14566074,0.676216526,0.450601051,4.048316892,4
4.65896E+18,79.13662399,-66.91753836,RRLYR,1.659731717,19.24141659,0.624257683,0.479377156,4.071795108,4
4.65896E+18,79.13336481,-66.89044103,RRLYR,1.520092288,19.25408015,0.541911855,0.510010594,4.267204536,2
4.65896E+18,79.09495174,-66.85645609,RRLYR,3.899973319,19.40083017,0.347623295,0.125809938,4.73249545,2
4.65896E+18,79.13775622,-66.85072427,RRLYR,2.186969946,19.43392843,1.217350742,0.46236773,3.86040224,3
4.65896E+18,79.14002085,-66.81716511,RRLYR,2.330249517,19.69557376,0.6730729,0.386901261,4.242035903,3
4.65896E+18,78.88562387,-66.85512405,RRLYR,1.479463105,19.35016459,0.446003926,0.341556743,4.131467944,4
4.65896E+18,78.82543791,-66.82630932,RRLYR,1.816995056,19.41939762,0.74588555,0.413338609,4.148303857,5
4.65896E+18,78.86248015,-66.78420021,RRLYR,1.526913716,19.22481592,0.501636066,0.426079827,4.219370673,4
4.65896E+18,78.88709246,-66.77853995,RRLYR,1.519765262,19.16401691,0.598776136,0.479844859,4.15382628,4
4.65896E+18,78.82776531,-66.78301081,RRLYR,1.914569075,19.27432813,0.833906688,0.345974327,3.880838949,4
4.65896E+18,78.82905011,-66.75071745,RRLYR,2.294174617,19.62914505,0.84547867,0.446798555,4.118630254,4
4.65897E+18,78.84561664,-66.66876675,RRLYR,1.732491576,19.19403517,0.84700128,0.484627337,3.963657517,5
4.65897E+18,78.69632182,-66.62431782,RRLYR,1.45213795,19.05693157,0.676732247,0.471815103,4.284891826,4
4.65897E+18,78.77669241,-66.56176705,RRLYR,1.803685277,19.23656572,1.037064243,0.49469364,4.048861593,6
4.65897E+18,78.89459867,-66.57543026,RRLYR,1.562298964,19.10627801,1.024501306,0.494937015,4.099333449,4
4.65945E+18,86.49336381,-67.07718235,RRLYR,1.625132991,19.32812201,0.522052743,0.393353546,3.971718949,3
4.65946E+18,86.36598884,-67.0124757,RRLYR,1.76012242,19.1742492,0.865706464,0.490483342,3.966056939,4
4.65946E+18,85.84942676,-67.01092594,RRLYR,2.874072463,18.99548564,0.529177104,0.185864914,4.418626834,3
4.65947E+18,85.72886532,-66.88550177,RRLYR,2.072318008,19.21467551,1.190483183,0.444216974,3.911763255,7
4.65947E+18,85.73060675,-66.85539888,RRLYR,3.328431022,19.18763219,0.466868546,0.22218545,4.441548824,3
4.65948E+18,85.15232865,-67.09938122,RRLYR,1.813522032,19.31257322,0.721179679,0.343452495,3.951036462,3
4.65949E+18,84.22348769,-67.15282143,RRLYR,1.407846417,19.14213693,0.439494642,0.44514535,4.305013269,2
4.65949E+18,84.36886255,-67.1132471,RRLYR,3.363574923,19.50560592,0.48781168,0.155910589,4.927186743,2
4.65949E+18,84.32687444,-67.06863565,RRLYR,1.728161676,19.31086843,0.8280429,0.447861805,3.971689183,4
4.6595E+18,84.94047732,-67.00056369,RRLYR,3.45861323,19.14939012,0.395848488,0.200156865,4.520452523,2
4.6595E+18,84.86292051,-67.01992216,RRLYR,3.460662456,19.06641242,0.369956975,0.203905165,4.510751601,2
